mandi,latitude,longitude
ABOHAR,30.155,74.1948
ADAMPUR,31.4254,75.72
AHMEDGARH,30.6813,75.8269
AJITWAL,30.8124,75.3438
AJNALA,29.7941,76.9207
AMARGARH,30.4607,76.0131
AMLOH APMC,30.6134,76.2305
AMRITSAR,31.6182,74.8824
ANANDPUR SAHIB,31.2278,76.5046
ARNIWALA,30.07,74.47
ATTARI,31.609,74.6182
BADHNI KALAN,30.6791,75.3066
BAGHA PURANA,30.6815,75.0867
BALACHAUR,31.0647,76.3078
BANGA,31.1875,75.9828
BANUR,30.5544,76.7137
BARETA,29.8626,75.6931
BARIWALA,30.5292,74.6588
BARNALA,30.3732,75.5351
BASSI PATHANA,30.67,76.43
BATALA,31.8235,75.2051
BHADAUR,30.4679,75.3265
BHADSON,30.504,76.2452
BHAGTA BHAI KA,30.4786,75.095
BHATINDA,30.1962,74.9437
BHIKHI APMC,30.0636,75.5251
BHIKHIWIND,31.3484,74.6887
BHOGPUR,31.5487,75.6393
BHOLTH,31.5423,75.5058
BHUCHO MANDI APMC,30.2109,75.0942
BHWANIGARH,30.2637,76.0405
BOHA,29.4952,75.3144
BUDHLADA APMC,29.9244,75.5484
CHAMKAUR SAHIB,30.8978,76.404
CHANARTHAL,30.5182,76.3696
CHEEMA,30.104,75.6802
CHHABAL,31.4829,74.7808
CHOWGAWAN,31.7059,74.6607
DAKALA,30.2195,76.3538
DASUYA,31.8056,75.6626
DERA BABA NANAK,32.0322,75.0305
DERA BASSI,30.6815,75.0867
DHANAULA,30.2821,75.5713
DHARAMKOT,30.9381,75.2304
DHARIWAL,31.5497,75.2406
DHILWAN,31.5012,75.3357
DHURI,30.37,75.87
DINANAGAR,32.1347,75.4567
DIRBA,30.0678,75.9923
DORAHA,30.4802,76.0226
DUDAN SADHAN,30.1613,76.5249
FARIDKOT APMC,30.6844,74.7555
FATEHGARH CHURIAN,31.8666,74.967
FATEHGARH PANJTOOR,31.0464,75.0989
FATHEGARH SAHIB,30.6151,76.3812
FAZILKA,30.4036,74.0341
FEROZEPUR CANTT,30.9277,74.5968
FEROZEPUR CITY APMC,30.9643,74.6262
GARHSHANKAR,31.7369,76.7214
GHANAUR,30.3327,76.6103
GIDDERBAHA,30.2033,74.6611
GONIANA,30.3185,74.9124
GORAYA,31.128,75.5099
GURDASPUR APMC,32.05,75.4326
GURUHARSAHAI,30.7128,74.3932
HARIKE,31.1718,74.9372
HATHUR,30.9295,75.4377
HOSHIYARPUR,31.5143,75.8951
JAGRAON,30.8047,75.4654
JAITO,30.4606,74.8802
JALALBAD,30.6056,74.2492
JALANDHAR,31.3395,75.5597
JALANDHAR CANTT.,31.261,75.663
JANDIALA GURU GEHRI,31.5694,75.039
KAHNUWAN,31.9179,75.4341
KALANAUR,32.007,75.1463
KAPURTHALA APMC,31.365,75.3706
KHADUR SAHIB,31.4312,75.1033
KHAMANO,30.8136,76.3488
KHANAURI,29.8308,76.1125
KHANNA APMC,30.7104,76.2141
KHARAR APMC,30.7398,76.6414
KHEMKARAN,31.1434,74.5619
KILA RAIPUR,30.7558,75.8144
KOT ISSE KHAN,30.9522,75.1291
KOTKAPURA APMC,30.5845,74.8364
KURALI,30.8357,76.5737
LALRU,30.4898,76.8054
LEHRAGAGA,29.9396,75.8119
LUDHIANA APMC,30.9392,75.8426
MACHHIWARA SAHIB,30.9083,76.1906
MAJITHA,31.752,74.9518
MAKHU,31.1067,74.9767
MALERKOTLA,30.5177,75.8843
MALLAN WALA,31.0414,74.8177
MALOUD,30.6354,75.936
MALOUT APMC,30.201,74.4964
MAMDOT,30.5215,74.2618
MANDI GOBINDGARH,30.67,76.3
MANSA,29.9832,75.3825
MAUR,30.0747,75.2199
MEHAL KALAN,30.5268,75.5726
MEHATPUR,31.0484,75.4732
MEHTA,31.6784,75.2492
MOGA APMC,30.8285,75.1568
MOHALI,30.6754,76.7472
MOONAK,29.829,75.901
MORINDA,30.8978,76.404
MUKERIAN,31.9503,75.6181
MUKTSAR,30.4721,74.5073
MULLANPUR DAKHAN,30.6516,75.6049
NABHA,30.3738,76.1394
NAKODAR,31.1231,75.4529
NAROT JAIMAL SINGH,32.2944,75.457
NATHANA,30.3088,75.0867
NAUSHEHARA PANNUAN,31.3327,74.9561
NAWANSHAHR MARKET,31.1166,76.1071
NIHAL SINGH WALA,30.6815,75.0867
NURMEHAL,31.09,75.59
PANJE KE UTAR,30.4217,74.1835
PATHANKOT,32.26,75.6377
PATIALA,30.2229,76.0863
PATRAN,29.9499,76.0564
PATTI,31.2737,74.8493
PHAGWARA,31.2354,75.7756
PHILLAUR,31.128,75.5099
QUADIAN,31.8122,75.2244
RAIKOT,30.6516,75.6049
RAJPURA,30.4642,76.577
RAMAN APMC,29.9602,74.9686
RAMPURA PHUL,30.2681,75.2355
RAYYA,31.5024,75.2142
ROPAR,30.9505,76.5317
SADIQ,30.7069,74.5914
SAHNEWAL,30.8526,75.9881
SAMANA,30.1477,76.1893
SAMRALA,30.8269,76.186
SANGAT,30.0906,74.8396
SANGRUR,30.2439,75.835
SARDULGARH APMC,29.6929,75.2394
SHAHKOT,31.0865,75.3386
SHERPUR,30.4444,75.7086
SHRI HARGOBINDPUR,31.8758,75.2917
SIDHWANBET,30.9295,75.4723
SULAR GHARAT,30.1057,75.9401
SULTANPUR LODHI,30.8546,74.4244
SUNAM,30.1248,75.8146
TALWANDI BHAI,30.8647,74.931
TALWANDI SABO,29.9834,75.0996
TANDA,31.261,75.2917
TAPPA,30.2853,75.364
TARN TARAN APMC,31.4623,74.9342
ZIRA,30.5738,74.5901
